Filename,Latitude,Longitude
DSC02063,45.245474,-92.986970
DSC02072,45.245474,-92.986970
DSC02110,45.246647,-92.991829
DSC02186,45.258186,-92.918164
DSC02222,45.271285,-92.877985
DSC02241,45.272649,-92.866223
DSC02276,45.284104,-92.765107
DSC02290,45.288164,-92.761261
DSC02297,45.312242,-92.725622
DSC02328,45.319437,-92.718617
DSC02345,45.322028,-92.718996
DSC02378,45.345976,-92.703577
DSC02392,45.370067,-92.693965
DSC02399,45.406701,-92.652973
DSC02506,45.473052,-92.913599
DSC02576,45.47857,-93.051599
DSC02599,45.484494,-93.050753
DSC02623,45.484434,-93.050516
DSC02637,45.484434,-93.050516
DSC02681,45.484434,-93.050516
DSC02752,45.484494,-93.050753
DSC02862,45.484432,-93.0506
DSC02969,45.484906,-93.050891
DSC03067,45.245545,-92.987073
DSC03108,45.245545,-92.987073
DSC03126,45.245545,-92.987073
DSC03172-Pano,45.245545,-92.987073
DSC03180,45.245545,-92.987073
DSC03182,45.245545,-92.987073